well_id,failed_within_30d,failure_mode,time_to_event_days,event_observed
well_001,0,healthy,40,0
well_002,0,healthy,57,0
well_003,0,healthy,86,0
well_004,0,healthy,50,0
well_005,0,healthy,55,0
well_006,1,scale,2,1
well_007,0,healthy,52,0
well_008,0,healthy,39,0
well_009,0,healthy,58,0
well_010,1,healthy,10,1
well_011,0,healthy,69,0
well_012,0,healthy,74,0
well_013,0,healthy,62,0
well_014,0,healthy,59,0
well_015,0,healthy_degrading,43,0
well_016,0,healthy,83,0
well_017,0,healthy,73,0
well_018,0,healthy,87,0
well_019,1,healthy_degrading,8,1
well_020,0,healthy_degrading,69,0
well_021,0,healthy,39,0
well_022,1,gas_interference,13,1
well_023,0,healthy,74,0
well_024,0,healthy,38,0
well_025,0,healthy,58,0
well_026,0,healthy,61,0
well_027,0,healthy,66,0
well_028,0,healthy,36,0
well_029,1,gas_lock,4,1
well_030,1,electrical,16,1
well_031,0,healthy,43,0
well_032,0,healthy_degrading,39,0
well_033,0,healthy,74,0
well_034,0,healthy,78,0
well_035,0,healthy,80,0
well_036,0,healthy_degrading,59,0
well_037,0,healthy,65,0
well_038,0,healthy,37,0
well_039,0,healthy_degrading,61,0
well_040,0,healthy,49,0
well_041,0,healthy_degrading,44,0
well_042,0,healthy,64,0
well_043,0,healthy_degrading,69,0
well_044,0,healthy_degrading,59,0
well_045,0,healthy,39,0
well_046,0,healthy_degrading,48,0
well_047,0,healthy,63,0
well_048,0,healthy_degrading,35,0
well_049,0,healthy,87,0
well_050,0,healthy,44,0
well_051,0,healthy,67,0
well_052,0,healthy,70,0
well_053,0,healthy_degrading,50,0
well_054,1,gas_lock,9,1
well_055,0,healthy,81,0
well_056,0,healthy_degrading,79,0
well_057,1,gas_interference,9,1
well_058,0,healthy,89,0
well_059,0,healthy,51,0
well_060,0,healthy,39,0
well_061,0,healthy,40,0
well_062,0,healthy,33,0
well_063,1,downthrust,18,1
well_064,0,healthy_degrading,37,0
well_065,0,healthy,44,0
well_066,0,healthy,37,0
well_067,0,healthy,40,0
well_068,0,healthy,79,0
well_069,1,healthy,5,1
well_070,0,healthy_degrading,47,0
well_071,0,healthy,37,0
well_072,0,healthy,73,0
well_073,1,downthrust,15,1
well_074,0,healthy,79,0
well_075,0,healthy,33,0
well_076,0,healthy,62,0
well_077,0,healthy,77,0
well_078,0,healthy_degrading,49,0
well_079,0,healthy,63,0
well_080,1,electrical,16,1
well_081,0,healthy,34,0
well_082,0,healthy_degrading,59,0
well_083,1,downthrust,6,1
well_084,0,healthy,80,0
well_085,1,electrical,5,1
well_086,0,healthy,65,0
well_087,0,healthy_degrading,90,0
well_088,1,downthrust,7,1
well_089,1,healthy_degrading,12,1
well_090,0,healthy,60,0
well_091,0,healthy_degrading,74,0
well_092,0,healthy,34,0
well_093,0,healthy,64,0
well_094,0,healthy,51,0
well_095,1,healthy_degrading,3,1
well_096,0,healthy,89,0
well_097,0,healthy_degrading,39,0
well_098,0,healthy,68,0
well_099,0,healthy,50,0
well_100,0,healthy,47,0
