date,injection_gas_mcfd,bopd,bwpd
2024-03-03,4.917,300.9,210.9
2024-03-04,4.942,282.7,207.0
2024-03-05,4.966,255.4,187.4
2024-03-06,4.898,282.5,217.1
2024-03-07,4.889,260.6,185.4
2024-03-08,4.934,303.0,215.2
2024-03-09,4.943,284.3,208.4
2024-03-10,4.891,293.6,215.5
2024-03-11,4.952,276.1,195.7
2024-03-12,4.961,268.3,190.8
2024-03-13,4.977,286.1,208.5
2024-03-14,5.001,287.0,201.9
2024-03-15,4.869,280.4,199.4
2024-03-16,4.913,285.5,205.6
2024-03-17,4.913,312.9,230.7
2024-03-18,4.907,296.2,209.6
2024-03-19,4.88,302.6,207.4
2024-03-20,4.838,300.5,205.5
2024-03-21,4.917,305.7,212.7
2024-03-22,4.874,286.6,199.1
2024-03-23,0.052,112.8,80.7
2024-03-24,0.034,118.9,82.9
2024-03-25,0.028,121.4,85.7
2024-03-26,0.055,119.6,84.2
2024-03-27,0.071,127.1,90.3
2024-03-28,0.08,124.0,92.2
2024-03-29,0.112,144.0,105.3
2024-03-30,0.074,131.8,94.8
2024-03-31,0.103,138.9,98.7
2024-04-01,0.071,131.2,93.3
2024-04-02,0.067,125.8,91.2
2024-04-03,0.125,139.9,102.0
2024-04-04,0.108,130.8,91.9
2024-04-05,0.106,123.6,88.9
2024-04-06,0.126,143.9,98.1
2024-04-07,0.125,141.2,102.0
2024-04-08,0.155,152.0,111.4
2024-04-09,0.167,158.5,113.1
2024-04-10,0.198,161.4,121.5
2024-04-11,0.157,142.1,99.8
2024-04-12,0.208,154.3,111.5
2024-04-13,0.255,168.9,121.3
2024-04-14,0.246,180.8,129.6
2024-04-15,0.224,169.6,121.5
2024-04-16,0.29,179.4,129.3
2024-04-17,0.307,170.4,125.2
2024-04-18,0.321,168.2,125.3
2024-04-19,0.345,186.6,134.1
2024-04-20,0.419,181.8,133.4
2024-04-21,0.438,194.1,137.0
2024-04-22,0.453,194.0,142.2
2024-04-23,0.392,201.6,142.1
2024-04-24,0.62,210.7,155.8
2024-04-25,0.576,186.3,141.7
2024-04-26,0.606,219.5,157.2
2024-04-27,0.604,213.6,145.0
2024-04-28,0.839,237.5,168.3
2024-04-29,0.828,231.0,171.3
2024-04-30,0.77,226.4,165.0
2024-05-01,0.802,239.5,173.3
2024-05-02,1.118,234.6,173.0
2024-05-03,1.111,245.8,178.9
2024-05-04,1.125,256.5,190.2
2024-05-05,1.131,244.6,180.0
2024-05-06,1.533,246.4,184.1
2024-05-07,1.517,273.3,198.3
2024-05-08,1.484,275.6,202.7
2024-05-09,1.512,267.5,190.7
2024-05-10,2.083,257.3,182.1
2024-05-11,2.053,279.6,210.0
2024-05-12,2.087,258.4,186.8
2024-05-13,2.093,278.5,204.3
2024-05-14,2.832,272.1,196.2
2024-05-15,2.768,270.9,191.7
2024-05-16,2.804,277.4,199.4
2024-05-17,2.867,276.2,206.0
2024-05-18,3.849,275.4,200.8
2024-05-19,3.82,296.4,203.8
2024-05-20,3.885,280.0,200.1
2024-05-21,3.86,289.9,218.1
2024-05-22,5.287,288.7,206.3
2024-05-23,5.271,282.3,193.6
2024-05-24,5.274,269.4,203.2
2024-05-25,5.272,264.1,193.2
2024-05-26,7.196,288.4,206.9
2024-05-27,7.227,282.0,200.7
2024-05-28,7.201,254.8,188.3
2024-05-29,7.15,280.4,198.7
2024-05-30,9.805,271.2,200.8
2024-05-31,9.819,301.1,219.4
2024-06-01,9.82,264.8,191.5
2024-06-02,9.788,268.0,193.4
2024-06-03,13.386,298.1,213.3
2024-06-04,13.381,297.0,219.2
2024-06-05,13.414,279.0,196.1
2024-06-06,13.348,282.5,194.7
2024-06-07,4.887,289.9,211.6
2024-06-08,4.897,256.5,187.4
2024-06-09,4.888,262.2,190.8
2024-06-10,4.868,280.3,203.6
2024-06-11,4.774,303.5,216.3
2024-06-12,4.891,277.4,203.5
2024-06-13,4.931,286.1,205.4
2024-06-14,4.888,299.3,212.4
2024-06-15,5.009,309.8,220.9
2024-06-16,4.913,272.2,206.0
2024-06-17,4.977,289.9,199.2
2024-06-18,4.925,303.9,221.2
2024-06-19,4.954,272.3,187.4
2024-06-20,4.926,296.8,212.7
2024-06-21,4.981,274.5,195.1
2024-06-22,4.915,292.4,199.1
2024-06-23,4.937,280.8,203.9
2024-06-24,4.931,275.0,195.7
2024-06-25,4.898,279.8,190.4
2024-06-26,4.932,285.3,209.5
2024-06-27,5.024,291.6,217.4
2024-06-28,4.899,278.8,208.2
2024-06-29,4.933,284.5,206.3
2024-06-30,4.975,291.2,209.5
