well_id,q_sl,q_max,a,water_cut,true_opt_inj,current_inj,over_injected
well_001,321.23,739.53,0.00358,0.55895,896.00807,1379.42,1
well_002,263.78,817.14,0.00334,0.47175,1076.41526,1662.256,1
well_003,132.32,240.97,0.00376,0.2837,636.25594,721.166,1
well_004,373.93,788.74,0.00238,0.44991,1263.16116,1779.887,1
well_005,331.15,797.82,0.00321,0.46388,1059.44592,1526.066,1
well_006,327.6,665.22,0.00196,0.49891,1282.68454,900.703,0
well_007,188.09,489.63,0.00216,0.41815,1225.0832,990.779,0
well_008,369.5,726.18,0.0038,0.50849,846.4129,1151.935,1
well_009,242.95,643.38,0.00163,0.6717,1275.61376,1883.527,1
well_010,129.44,384.21,0.00149,0.4829,1336.95562,1503.214,1
well_011,347.86,728.88,0.0016,0.31394,1717.06371,1168.11,0
well_012,367.27,1056.69,0.00366,0.4341,1086.12052,609.342,0
well_013,244.52,584.46,0.00357,0.58822,819.87819,1078.68,1
well_014,177.69,477.76,0.00216,0.42539,1217.73555,1676.384,1
well_015,172.38,304.2,0.00347,0.47172,634.32195,780.845,1
well_016,286.83,740.96,0.00103,0.52308,2056.6844,1660.756,0
well_017,268.71,591.71,0.00274,0.60637,935.85331,774.454,0
well_018,315.81,592.87,0.00363,0.39029,862.1341,1327.501,1
well_019,327.67,988.34,0.00224,0.37734,1579.01526,2169.828,1
well_020,293.05,530.06,0.00227,0.40376,1094.62776,606.848,0
